,SE,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,optimal_thr,mean_thr
0,0,0.45265984535217285,0.46322596073150635,0.6779088973999023,1.0914745330810547,1.0462312698364258,1.0583031177520752,1.1700271368026733,1.201286792755127,1.3081632852554321,1.4686390161514282,1.6758952140808105,1.4112114906311035,1.65090811252594,1.7947793006896973,1.5605638027191162,1.845621943473816,1.6969432830810547,1.5973339080810547,1.7236626148223877,1.7291446924209595,1.7970731258392334,1.8707613945007324,1.6479219198226929,1.743120551109314,2.0560829639434814,2.035449981689453,2.3118364810943604,1.9604229927062988,2.1402764320373535,1.747112512588501,2.0822150707244873,1.8548442125320435,1.857717514038086,2.0209436416625977,1.708879828453064,1.6435880661010742,1.660545825958252,1.5725682973861694,1.529430627822876,1.5346672534942627,1.58780837059021,1.1085700988769531,1.6247661113739014,1.4854404926300049,1.1588163375854492,1.304721713066101,1.4080355167388916,1.588634967803955,1.2708613872528076,1.3524436950683594,1.607406497001648,1.299719214439392,1.5198719501495361,1.4766039848327637,1.4406766891479492,1.5174689292907715,1.5614112615585327,1.686920404434204,1.8431917428970337,1.7988274097442627,1.6688430309295654,1.4637174606323242,1.6053905487060547,1.7197154760360718,1.9065935611724854,1.6966638565063477,1.7689237594604492,1.6509580612182617,1.5518001317977905,1.5008704662322998,1.687633752822876,1.4464914798736572,1.4302258491516113,1.4703896045684814,1.395524501800537,1.4104944467544556,1.3269219398498535,1.0654821395874023,1.2019391059875488,1.4131370782852173,1.2771267890930176,1.2717862129211426,1.1662856340408325,1.0342044830322266,1.0089547634124756,1.0090198516845703,1.1055169105529785,1.1058192253112793,1.0422682762145996,1.0651694536209106,0.8230596780776978,0.9729874134063721,1.0295782089233398,0.954702615737915,1.0723876953125,0.9339416027069092,0.9382339715957642,0.9608989953994751,0.9444210529327393,0.8706637620925903,1.4401038253307343
1,1,0.4150683879852295,0.4381263256072998,0.6045317649841309,0.8850980997085571,1.0106340646743774,1.16860032081604,1.2220350503921509,1.4524394273757935,1.3142130374908447,1.4445054531097412,1.466062068939209,1.666679859161377,1.5459918975830078,1.5963765382766724,1.4918603897094727,1.729379653930664,1.7832595109939575,1.7315123081207275,1.8015093803405762,1.5591299533843994,1.8851104974746704,1.6377379894256592,1.768096923828125,1.8462145328521729,1.965484380722046,2.031339168548584,2.083498001098633,2.3280227184295654,2.1352944374084473,2.0398545265197754,1.9751310348510742,1.9582278728485107,2.0090341567993164,2.0188655853271484,2.040278911590576,1.7840497493743896,1.917972207069397,1.8459794521331787,1.703033208847046,1.8896149396896362,1.8185738325119019,1.882354736328125,1.6543939113616943,1.636469841003418,1.6757597923278809,1.771224856376648,1.7086108922958374,1.7471246719360352,1.8794019222259521,1.9121723175048828,1.9233438968658447,1.7670831680297852,1.781307578086853,1.803032398223877,1.7901185750961304,1.955636978149414,1.8506214618682861,1.9404948949813843,1.9908093214035034,2.00244402885437,1.9775736331939697,2.033766269683838,2.0735278129577637,2.3380913734436035,2.4970788955688477,2.17145037651062,2.0222887992858887,2.0725455284118652,1.929823875427246,2.1310691833496094,1.875354290008545,1.9022778272628784,2.03543758392334,1.8538644313812256,1.6872485876083374,1.7036646604537964,1.8311161994934082,1.834770917892456,1.7225894927978516,1.7834670543670654,1.7088372707366943,1.8212580680847168,1.5708329677581787,1.600795030593872,1.6998965740203857,1.6366398334503174,1.6242214441299438,1.7680842876434326,1.730104684829712,1.7086756229400635,1.705216646194458,1.4355639219284058,1.620589256286621,1.5128237009048462,1.4740257263183594,1.3776415586471558,1.452904224395752,1.6135791540145874,1.557091236114502,1.374058485031128,1.731506793498993
2,2,0.7768808603286743,0.9879688024520874,0.7890818119049072,0.8021341562271118,1.0342804193496704,0.7910237908363342,1.257537603378296,1.308492660522461,1.0347193479537964,1.2157518863677979,1.2872233390808105,1.7328921556472778,1.0055992603302002,1.2732783555984497,1.3184044361114502,1.62782883644104,1.6072959899902344,1.3628482818603516,1.07008957862854,1.2673213481903076,0.7722102403640747,1.1431159973144531,1.2564404010772705,1.241292953491211,1.319760799407959,1.3103686571121216,0.8786332607269287,1.2638133764266968,1.6413766145706177,0.9499103426933289,1.4334566593170166,1.5905003547668457,1.1941114664077759,1.0238206386566162,1.0822393894195557,1.1047598123550415,0.8038511276245117,1.6009652614593506,1.3650197982788086,0.894822359085083,0.979737401008606,0.8708023428916931,0.7253812551498413,0.8253099918365479,1.055572271347046,0.9143980741500854,1.171970009803772,0.9022138714790344,1.2976932525634766,1.0332496166229248,1.4168105125427246,1.2043592929840088,1.2429440021514893,1.0360801219940186,1.0485951900482178,1.1049401760101318,0.7246715426445007,1.1365280151367188,0.8282097578048706,1.2991235256195068,1.0216847658157349,1.3938255310058594,1.2728815078735352,1.4841338396072388,1.052643060684204,0.8320753574371338,1.100114345550537,1.1297502517700195,1.3879621028900146,1.2680342197418213,1.1633297204971313,1.0992097854614258,1.327968955039978,0.9887551069259644,0.9851173758506775,0.7515066266059875,0.6413849592208862,0.892547070980072,1.3187538385391235,1.1821351051330566,0.9630650281906128,0.7804800271987915,1.2278704643249512,0.9038267135620117,0.5683022737503052,0.9352518320083618,1.0379011631011963,0.6058176755905151,1.2482621669769287,0.6541886329650879,1.22910475730896,0.8700762987136841,0.738451361656189,0.6744053959846497,0.9482325315475464,0.775108814239502,0.7439438700675964,0.9590810537338257,0.6478878259658813,0.6915603876113892,1.0773634445667266
3,3,0.9064438343048096,0.818476676940918,0.8783218860626221,1.3119289875030518,1.4378252029418945,0.9034375548362732,1.004676342010498,1.344490885734558,1.2551062107086182,1.045710563659668,1.0296282768249512,1.4479931592941284,1.224615454673767,0.8463366627693176,0.907584547996521,1.3768091201782227,1.3046656847000122,1.6932003498077393,0.8006269931793213,1.6713402271270752,1.3216381072998047,0.9171874523162842,1.2265554666519165,0.6189699172973633,1.2429332733154297,1.4831410646438599,1.199031114578247,0.750676155090332,0.7118246555328369,1.1219109296798706,1.113149642944336,1.366294264793396,0.8567551374435425,0.9730740785598755,0.6934432983398438,0.8056262731552124,1.3712801933288574,0.9544316530227661,0.8498764038085938,1.2338240146636963,1.136529803276062,0.9135539531707764,0.938342809677124,0.4848167300224304,0.4649404287338257,1.0726673603057861,0.8119962811470032,1.2306795120239258,0.8713633418083191,1.0458372831344604,0.5538144111633301,0.6789641380310059,1.3352100849151611,1.547702670097351,1.28969144821167,1.082600474357605,1.6195495128631592,1.380614995956421,0.9731990694999695,1.2079541683197021,0.9193040132522583,0.5792900919914246,1.4763462543487549,1.3043036460876465,1.1326022148132324,0.9082480072975159,0.6667879819869995,0.966503918170929,0.7579910755157471,1.045684576034546,0.8293517827987671,0.9696048498153687,1.196990966796875,0.6155344247817993,0.733012318611145,1.3475003242492676,0.782873272895813,0.8696413040161133,1.1102006435394287,1.1433684825897217,0.9792301654815674,0.88201904296875,0.5861078500747681,0.806336522102356,0.6307116150856018,0.44925999641418457,1.0385591983795166,0.4650791883468628,1.202134132385254,0.840499758720398,0.7877883315086365,0.45268309116363525,0.598793625831604,0.7794027328491211,0.9437592029571533,0.6854120492935181,1.0214312076568604,0.45871371030807495,1.233741044998169,1.0189259052276611,0.9987659871578216
4,4,0.4387050271034241,0.6121673583984375,0.739770233631134,0.8536736965179443,1.2109973430633545,1.229425072669983,1.5886497497558594,1.5019938945770264,1.6121621131896973,1.5531005859375,1.5873974561691284,1.567627191543579,1.670179843902588,1.4071543216705322,1.6424288749694824,1.5686509609222412,1.6281524896621704,1.9196255207061768,1.5867973566055298,1.7990872859954834,1.575941562652588,1.1988965272903442,1.518287181854248,1.767722249031067,1.7662112712860107,1.5549569129943848,1.7913129329681396,1.7160099744796753,1.6410657167434692,1.4653751850128174,1.7146341800689697,1.8101005554199219,1.7613325119018555,1.8494758605957031,1.6920560598373413,1.6986597776412964,1.5900158882141113,1.4941339492797852,1.656804084777832,1.7236592769622803,1.8791100978851318,1.3943519592285156,1.4299405813217163,1.3219988346099854,1.1047548055648804,1.3411235809326172,1.3833107948303223,1.6077957153320312,1.0893127918243408,1.5345253944396973,1.3619838953018188,1.3763341903686523,1.466566562652588,1.5799802541732788,1.5440714359283447,1.6843782663345337,1.7050405740737915,1.5725678205490112,1.8999063968658447,1.706662654876709,1.5426809787750244,1.8733998537063599,1.70400071144104,1.8939694166183472,1.7191388607025146,1.8867422342300415,1.762845754623413,1.7359099388122559,1.8855962753295898,1.4976766109466553,1.6260833740234375,1.3614140748977661,1.2524464130401611,0.7933824062347412,0.9272831678390503,1.1337822675704956,0.9296234846115112,1.0240702629089355,1.376322865486145,1.10581374168396,1.3834519386291504,1.1622557640075684,1.0139391422271729,1.2566072940826416,1.0410066843032837,1.0889934301376343,1.254241943359375,0.9923186302185059,1.0952894687652588,0.99796062707901,0.9657595157623291,1.0132595300674438,0.844694972038269,0.9018272757530212,0.8703572750091553,1.211974859237671,0.9407283663749695,1.29404616355896,1.1394217014312744,0.882968008518219,1.4107139992713928
5,5,0.4200145900249481,0.4324750602245331,0.6819829344749451,0.8484999537467957,0.9815601110458374,1.1182746887207031,1.1049888134002686,1.3853676319122314,1.5098979473114014,1.3599863052368164,1.2854353189468384,1.4339479207992554,1.663670539855957,1.5791234970092773,1.715459942817688,1.894660472869873,1.8626259565353394,1.7001137733459473,2.030825138092041,1.9019776582717896,1.7643511295318604,1.7179534435272217,2.186058759689331,1.713104486465454,2.0528335571289062,2.019883155822754,1.770724892616272,1.6988972425460815,2.044764995574951,2.0643997192382812,1.9802896976470947,2.2376515865325928,1.9851341247558594,2.0371813774108887,1.7601146697998047,1.6331098079681396,1.5699005126953125,1.7141456604003906,1.4174481630325317,1.6572439670562744,1.6753511428833008,1.5699832439422607,1.4052531719207764,1.7895207405090332,1.5953724384307861,1.399983286857605,1.4154397249221802,1.5242362022399902,1.5051443576812744,1.4870246648788452,1.7064878940582275,1.4542231559753418,1.4986493587493896,1.5631380081176758,1.6654078960418701,1.7291252613067627,1.7594447135925293,1.375203251838684,1.3230056762695312,1.6732206344604492,1.8494477272033691,1.4755871295928955,1.703529715538025,1.8190817832946777,1.8113195896148682,1.6698503494262695,1.3211692571640015,1.6135375499725342,1.736358404159546,1.6840893030166626,1.5577019453048706,1.7056982517242432,1.3726568222045898,1.4047136306762695,1.4692127704620361,1.4306840896606445,1.3943901062011719,1.3236567974090576,1.0395762920379639,1.3328919410705566,1.2153867483139038,1.0696234703063965,1.067251205444336,1.094819188117981,1.0182468891143799,1.0562890768051147,1.2207698822021484,0.867351770401001,1.1268436908721924,1.6442716121673584,1.2118616104125977,1.0072780847549438,1.0148165225982666,0.8691104054450989,1.0911130905151367,1.0757954120635986,1.1667966842651367,1.1981500387191772,1.1485183238983154,1.31944739818573,1.4825018858909607
6,6,0.9062767028808594,0.8522568941116333,1.026801347732544,1.06703782081604,1.4058928489685059,1.2345409393310547,1.451020359992981,1.385221004486084,1.2069239616394043,1.0902698040008545,1.6767754554748535,0.959338366985321,1.4624011516571045,1.4667456150054932,1.120333194732666,0.9559541940689087,0.9642494320869446,0.9281381368637085,1.1833488941192627,1.2579948902130127,0.6436265110969543,1.2870115041732788,1.167492389678955,0.8060368299484253,1.012810468673706,1.3188986778259277,1.116339087486267,0.8799607753753662,1.4414422512054443,1.531414270401001,0.7050999999046326,0.855568528175354,1.1917611360549927,1.124006748199463,0.7360411286354065,0.8596522808074951,1.319319725036621,1.29472017288208,1.3213157653808594,0.9984267950057983,1.10103440284729,1.0579172372817993,1.0613179206848145,1.1452679634094238,1.4063732624053955,0.6032619476318359,0.8671672344207764,1.2539682388305664,1.1667499542236328,1.0516767501831055,0.8921964168548584,0.6665372848510742,1.103163719177246,0.7831834554672241,1.377129316329956,1.0516560077667236,1.645957589149475,0.6615374088287354,1.2416516542434692,0.737905740737915,1.1019290685653687,1.0709154605865479,1.3476135730743408,0.49250340461730957,1.013547420501709,0.9347869157791138,1.328062653541565,0.9620262384414673,0.8663104176521301,1.5844664573669434,1.08035409450531,0.8987918496131897,0.5784860849380493,0.8339248895645142,0.8961758613586426,0.9021746516227722,1.133443832397461,0.9777098894119263,1.0622425079345703,0.6461619138717651,0.6969225406646729,1.3118617534637451,0.5699958801269531,0.8689881563186646,1.030857801437378,1.3060181140899658,0.8666656017303467,0.7674715518951416,0.6924351453781128,0.9802923202514648,0.9501233100891113,0.7090132236480713,0.882659912109375,1.0624382495880127,1.7871589660644531,0.9900792837142944,1.0521472692489624,0.957166850566864,1.0268175601959229,1.1173501014709473,1.0542621034383775
7,7,0.7061315774917603,0.4773784875869751,0.5098145008087158,0.727609395980835,1.4594221115112305,0.6995709538459778,1.2164990901947021,1.1984236240386963,1.5503023862838745,1.218397617340088,1.5239758491516113,1.6350622177124023,1.3103095293045044,1.5800504684448242,1.3968231678009033,1.3318232297897339,1.1859749555587769,1.4817426204681396,1.56265127658844,1.074936032295227,1.274782657623291,1.3633002042770386,1.3511040210723877,1.2635831832885742,1.6944376230239868,1.665205478668213,1.8205171823501587,1.9210065603256226,1.812561273574829,1.5360180139541626,1.7757744789123535,1.7954914569854736,1.6491113901138306,1.221807599067688,1.5006208419799805,1.7391152381896973,1.2220689058303833,1.626631259918213,1.3484387397766113,1.2119216918945312,1.511960744857788,1.1392313241958618,1.3365991115570068,1.058413028717041,1.1893625259399414,1.207990050315857,1.2885355949401855,1.2820985317230225,1.558786392211914,1.2915623188018799,1.3845181465148926,1.3103845119476318,0.9992620944976807,1.235903024673462,1.4705157279968262,1.1936200857162476,1.4400761127471924,1.3548870086669922,1.4267261028289795,1.0439503192901611,1.3414863348007202,1.6829493045806885,1.356963872909546,1.307271957397461,1.4467650651931763,1.1633992195129395,1.1702275276184082,1.2148056030273438,1.1363208293914795,1.3368065357208252,1.2536450624465942,1.3403887748718262,1.1863898038864136,1.1861681938171387,0.9957883954048157,0.9835642576217651,1.030912160873413,1.1842470169067383,0.8859351873397827,1.0311492681503296,1.189082384109497,1.0710334777832031,1.4294812679290771,1.185628056526184,1.1277551651000977,1.1990246772766113,1.0547287464141846,1.2786104679107666,1.3199419975280762,1.197724461555481,1.0059943199157715,1.4914634227752686,1.1014972925186157,1.3093881607055664,1.2004663944244385,1.2774536609649658,1.3290345668792725,1.3263109922409058,1.2867586612701416,0.9640119671821594,1.289453541636467
8,8,0.5240395665168762,0.4919651746749878,0.831506609916687,1.077273964881897,1.0180675983428955,1.3434925079345703,1.2160990238189697,1.399409294128418,1.1061151027679443,1.103256344795227,1.0828022956848145,1.602144479751587,1.4448754787445068,1.8366445302963257,1.4654344320297241,1.6467534303665161,1.6074321269989014,1.5659570693969727,1.4771690368652344,1.3146110773086548,1.8805526494979858,1.6700068712234497,1.6561050415039062,1.5147323608398438,1.8168940544128418,1.6090128421783447,1.3852124214172363,1.7549045085906982,1.9685425758361816,1.4442105293273926,1.5317983627319336,1.3725850582122803,1.4003551006317139,1.7597894668579102,1.4865343570709229,1.362805724143982,1.3613622188568115,1.7494428157806396,1.4891226291656494,1.255039930343628,1.4619852304458618,1.5608112812042236,1.2619266510009766,1.4105080366134644,1.2262177467346191,1.2837612628936768,1.276235580444336,1.3808953762054443,1.2881498336791992,1.2873672246932983,1.071831464767456,1.2409887313842773,1.226518988609314,1.190781593322754,1.1698265075683594,1.2515277862548828,1.1661622524261475,1.26849365234375,1.599663257598877,1.1546579599380493,1.4516773223876953,1.523540735244751,1.1606667041778564,1.3772494792938232,1.279320240020752,1.4488192796707153,1.3475826978683472,1.2336344718933105,1.0551245212554932,1.3741719722747803,1.4672480821609497,1.168789267539978,1.5579032897949219,1.2567133903503418,1.1024603843688965,1.1326051950454712,1.2946951389312744,1.4505969285964966,1.3354566097259521,1.1758116483688354,1.360224962234497,0.9812783002853394,1.2475988864898682,1.2785816192626953,1.3253495693206787,1.2257797718048096,0.9091289043426514,1.1644253730773926,0.8801805973052979,0.9279903173446655,1.003262996673584,1.2127456665039062,1.145545244216919,1.1563050746917725,1.2897472381591797,1.01934814453125,1.1991937160491943,1.3149573802947998,0.9568725824356079,0.9431960582733154,1.3113814884424209
9,9,1.0335114002227783,1.0166893005371094,1.2448129653930664,1.319645881652832,1.633274793624878,1.7382357120513916,1.2982795238494873,1.2308721542358398,1.1778013706207275,1.2186992168426514,1.4974092245101929,1.3406541347503662,1.3858509063720703,1.0961108207702637,1.305894136428833,1.087740182876587,1.2221910953521729,0.8269491791725159,1.0923045873641968,1.2152807712554932,0.8340528011322021,1.1710156202316284,1.2713630199432373,1.345834732055664,1.0201691389083862,1.4990870952606201,0.904248833656311,1.2983143329620361,1.1732754707336426,1.2781133651733398,1.4654209613800049,0.9996440410614014,1.4327507019042969,1.151552677154541,1.0166802406311035,1.0573489665985107,0.8726202249526978,1.4962167739868164,1.0454297065734863,0.9093812704086304,0.6532001495361328,1.214606523513794,1.0874519348144531,1.2476251125335693,1.0427525043487549,1.02483332157135,1.1244771480560303,1.439408302307129,0.6957076787948608,0.7670979499816895,1.0318620204925537,1.3411946296691895,0.9693616628646851,0.6858083605766296,1.4551060199737549,1.475930094718933,0.8176704049110413,1.4005510807037354,0.605036735534668,1.4417535066604614,1.0082036256790161,1.0549837350845337,1.3929438591003418,1.14960515499115,1.2942925691604614,1.3141741752624512,1.4366567134857178,0.8123553395271301,1.4801244735717773,1.8171238899230957,1.5522425174713135,1.4371674060821533,1.3420839309692383,1.2791281938552856,0.8734162449836731,0.7980747818946838,0.6729681491851807,1.371509075164795,0.9023352265357971,0.7092649340629578,0.9586891531944275,0.9870334267616272,1.0641753673553467,0.9194329977035522,0.9481593370437622,1.3022453784942627,0.6211427450180054,0.5010174512863159,0.7069763541221619,1.1060729026794434,0.8944926261901855,0.5825952291488647,0.44430071115493774,0.28680020570755005,0.6113778948783875,1.1950547695159912,1.0372347831726074,0.3325501084327698,0.7175546884536743,0.9535733461380005,1.0961529594659805
