,0
651,4616
652,11168
653,3551
654,572
655,6813
656,10057
657,11004
658,2887
659,9181
660,9212
661,8569
662,6119
663,5873
664,50810
665,2954
666,23212
667,8726
668,2770
669,58497
670,2048
671,2625
672,39
673,5058
674,1070
675,868
676,2624
677,7043
678,2920
679,85236
680,310
681,6696
682,22827
683,8837
684,5588
685,5603
686,2534
687,116832
688,5321
689,8444
690,4200
691,47
692,11200
693,2852
694,10362
695,4067
696,2886
697,51635
698,7168
699,3308
700,10962
701,1022
702,8480
703,652
704,622
705,637
706,644
707,23658
708,10190
709,9112
710,7852
711,1282
712,26001
713,147179
714,23061
715,9289
716,90861
717,57178
718,23244
719,3486
720,23039
721,1399
722,25839
723,94239
724,23014
725,27032
726,27346
727,23512
728,200081
729,7027
730,9686
731,89910
732,26128
733,200734
734,23522
735,23131
736,84890
737,23200
738,26036
739,23029
740,84159
741,1123
742,93487
743,54505
744,23338
745,25976
746,55818
747,5096
748,9842
749,23210
750,30849
751,23271
752,23325
753,6509
754,10973
755,91137
756,23076
757,8312
758,23142
759,8550
760,25966
761,23335
762,6832
763,23097
764,57215
765,9847
766,5438
767,5986
768,22934
769,11011
770,7074
771,3206
772,91949
773,148022
774,55958
775,23161
776,6714
777,81544
778,5331
779,6909
780,323
781,23149
782,388650
783,427
784,6597
785,6657
786,3202
787,375346
788,27109
789,93594
790,4793
791,2017
792,10038
793,8574
794,30
795,25803
796,5898
797,2113
798,891
799,7690
800,9637
801,50814
802,1759
803,29978
804,23139
805,23321
806,3508
807,2908
808,23368
809,6347
810,2064
811,23223
812,9455
813,7416
814,9709
815,2597
816,3108
817,3416
818,51335
819,55748
820,56889
821,55256
822,11031
823,23585
824,51495
825,10652
826,58533
827,28969
828,51465
829,51466
830,25825
831,4282
832,55011
833,51719
834,55699
835,1829
836,23588
837,9531
838,10695
839,51056
840,10273
841,51070
842,58478
843,51170
844,58472
845,51116
846,79902
847,51024
848,51203
849,51021
850,51569
851,64943
852,26993
853,56654
854,55608
855,51071
856,54881
857,55148
858,23670
859,57761
860,55893
861,56997
862,51015
863,80212
864,51026
865,51282
866,7376
867,25987
868,64429
869,55111
870,51422
871,26520
872,27244
873,51053
874,79174
875,53343
876,55038
877,29937
878,64781
879,29103
880,50865
881,1788
882,54442
883,30001
884,51293
885,79947
886,29082
887,63874
888,79600
889,55127
890,55847
891,6839
892,51160
893,54512
894,64428
895,79643
896,29763
897,10112
898,29911
899,54957
900,10451
901,54733
902,56940
903,10644
904,55012
905,27242
906,79850
907,4851
908,55129
909,11284
910,1906
911,60493
912,79006
913,8270
914,5827
915,51005
916,79170
917,79187
918,29928
919,80204
920,64080
921,79094
922,4482
923,55008
924,51001
925,23536
926,55033
927,56924
928,5716
929,26511
930,55604
931,80746
932,54807
933,80758
934,54438
935,6676
936,57192
937,51385
938,11182
939,63933
940,54850
941,29916
942,55179
943,29083
944,7099
945,79961
946,55825
947,51742
948,10818
949,81533
950,665
951,10776
952,64422
953,10813
954,80349
955,1978
956,83743
957,57406
958,23410
959,8996
960,55620
961,23597
962,124583
963,54915
964,3157
965,85377
966,55793
967,466
968,54681
969,11000
970,6915
971,6253
972,7264
973,5467
974,2767
975,23038
976,57048
977,79716
